genome	substrates
TARA_SAMEA2619766_METAG_AMLOEABD	chitin, arabinan, beta-glucan, glucosylglycerate, xyloglucan, glycogen, cellulose, alpha-glucan, xylan, starch, lignin, polyphenol, exo-polysaccharide, sucrose, peptidoglycan, trehalose, host glycan
TARA_SAMEA2619766_METAG_PJEAKBDD	chitin, glucooligosaccharide, glucosylglycerate, glycogen, cellulose, alpha-glucan, xylan, lignin, starch, polyphenol, cellooligosaccharide, exo-polysaccharide, sucrose, chitooligosaccharide, peptidoglycan, trehalose, host glycan
TARA_SAMEA2619766_METAG_GANBJGDD	glucooligosaccharide, polyphenol, chitin, beta-glucan, beta-mannan, human milk polysaccharide, lignin, cellooligosaccharide, exo-polysaccharide, chitooligosaccharide, host glycan, beta-galactan, xylan, beta-fucosides, alkaloid, peptidoglycan, beta-glucuronan, cellulose, uric acid
TARA_SAMEA2619766_METAG_DNMPBJJD	glucooligosaccharide, glucosylglycerate, alpha-glucan, polyphenol, sucrose, chitin, beta-glucan, human milk polysaccharide, lignin, cellooligosaccharide, exo-polysaccharide, chitooligosaccharide, trehalose, beta-galactan, host glycan, glycogen, xylan, starch, alginate, fructan, peptidoglycan, cellulose
TARA_SAMEA2619766_METAG_NCAMPJEC	chitin, arabinan, beta-glucan, glucosylglycerate, xyloglucan, glycogen, alpha-glucan, polyphenol, xylan, starch, exo-polysaccharide, sucrose, peptidoglycan, trehalose, host glycan
TARA_SAMEA2619766_METAG_JHGDMCFI	chitin, arabinan, beta-glucan, glucosylglycerate, xyloglucan, glycogen, alpha-glucan, polyphenol, xylan, starch, exo-polysaccharide, sucrose, peptidoglycan, trehalose, host glycan
TARA_SAMEA2619766_METAG_EKPJNNJO	arabinan, glycolipid, polyphenol, chitin, beta-glucan, beta-mannan, exo-polysaccharide, trehalose, xyloglucan, host glycan, agarose, xylan, beta-glycan, porphyran, peptidoglycan, arabinogalactan protein, cellulose, chitosan, carrageenan
TARA_SAMEA2619766_METAG_PNCHGECM	arabinan, glucosylglycerate, polyphenol, alpha-glucan, sucrose, chitin, beta-glucan, beta-mannan, human milk polysaccharide, lignin, pectin, exo-polysaccharide, abscisic acid, trehalose, beta-galactan, host glycan, xyloglucan, agarose, glycogen, xylan, alpha-mannan, alkaloid, beta-fucosides, starch, fructan, peptidoglycan, arabinogalactan protein, beta-glucuronan, chitosan, uric acid
TARA_SAMEA2619782_METAG_GMLGCIOD	sucrose, pectin, cellulose, peptidoglycan, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, chitosan, trehalose, cellooligosaccharide, beta-glucuronan, arabinan, lignin, alpha-glucan, xyloglucan, glucosylglycerate, host glycan, glycogen, beta-glucan, alpha-mannan, starch, beta-mannan, xylan, beta-galactan
TARA_SAMEA2619782_METAG_DJKHELNO	chitin, host glycan, lignin, arabinan, alpha-galactan, trehalose, cellulose, starch, peptidoglycan, cellooligosaccharide, beta-glucan, xyloglucan, chitooligosaccharide, alpha-glucan, glucooligosaccharide, polyphenol, exo-polysaccharide, xylan
TARA_SAMEA2619782_METAG_HIMFJKHE	chitin, host glycan, trehalose, peptidoglycan, lignin, human milk polysaccharide, xylan, polyphenol, exo-polysaccharide
TARA_SAMEA2619782_METAG_JMJLDAKP	sucrose, cellulose, peptidoglycan, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, trehalose, cellooligosaccharide, xyloglucan, arabinan, lignin, alpha-glucan, glucosylglycerate, host glycan, glycogen, beta-glucan, starch, xylan
TARA_SAMEA2619782_METAG_FADEPKNA	sucrose, cellulose, peptidoglycan, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, trehalose, cellooligosaccharide, xyloglucan, arabinan, lignin, alpha-glucan, glucosylglycerate, host glycan, glycogen, beta-glucan, starch, xylan
TARA_SAMEA2619782_METAG_DLAEFBDJ	arabinogalactan protein, fructan, cellulose, peptidoglycan, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, chitosan, glycolipid, trehalose, cellooligosaccharide, xyloglucan, arabinan, lignin, host glycan, beta-glucan, beta-glycan, beta-mannan, xylan, beta-galactan, human milk polysaccharide
TARA_SAMEA2619782_METAG_COCCGOCF	chitin, host glycan, arabinan, trehalose, cellulose, peptidoglycan, cellooligosaccharide, beta-glucan, lignin, chitooligosaccharide, xyloglucan, glucooligosaccharide, polyphenol, exo-polysaccharide, xylan
TARA_SAMEA2619782_METAG_AEJGIIHC	raffinose, sucrose, pectin, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, chitosan, trehalose, cellooligosaccharide, beta-glucuronan, arabinan, lignin, host glycan, beta-glucan, alpha-mannan, starch, palatinose, beta-mannan, xylan, beta-galactan
TARA_SAMEA2619782_METAG_JFMHGPNE	beta-fucosides, sucrose, arabinogalactan protein, pectin, peptidoglycan, agarose, polyphenol, exo-polysaccharide, chitin, chitosan, trehalose, beta-glucuronan, arabinan, xyloglucan, alpha-glucan, lignin, glucosylglycerate, host glycan, glycogen, alpha-galactan, alkaloid, beta-glucan, alpha-mannan, carrageenan, starch, beta-mannan, porphyran, xylan, beta-galactan
TARA_SAMEA2619782_METAG_FMLIFDKO	pectin, fructan, cellulose, peptidoglycan, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, chitosan, trehalose, cellooligosaccharide, beta-glucuronan, arabinan, lignin, sialic acid, host glycan, beta-glucan, alpha-mannan, beta-mannan, xylan, beta-galactan, human milk polysaccharide
TARA_SAMEA2619782_METAG_PAAEHBLG	chitin, host glycan, glucooligosaccharide, arabinan, cellulose, peptidoglycan, cellooligosaccharide, beta-glucan, lignin, chitooligosaccharide, xyloglucan, xylan, polyphenol, exo-polysaccharide, cephalosporin C
TARA_SAMEA2619782_METAG_OHIHNNLJ	sucrose, cellulose, peptidoglycan, chitooligosaccharide, glucooligosaccharide, polyphenol, exo-polysaccharide, chitin, trehalose, cellooligosaccharide, xyloglucan, arabinan, lignin, alpha-glucan, glucosylglycerate, host glycan, glycogen, alpha-galactan, beta-glucan, starch, xylan
TARA_SAMEA2591098_METAG_PLHPJCGC	agarose, porphyran, arabinan, host glycan, xyloglucan, alpha-glucan, carrageenan, glucosylglycerate, lignin, chitin, sialic acid, starch, alpha-galactan, alginate, alkaloid, beta-glucan, trehalose, exo-polysaccharide, peptidoglycan, xylan, polyphenol, pectin, arabinogalactan protein, glycogen, sucrose, beta-galactan
TARA_SAMEA2591098_METAG_NLMGDPCC	chitosan, arabinan, host glycan, alpha-glucan, beta-mannan, glucosylglycerate, lignin, cellulose, chitin, chitooligosaccharide, starch, beta-glucan, beta-glucuronan, trehalose, exo-polysaccharide, alpha-mannan, peptidoglycan, xylan, glucooligosaccharide, cellooligosaccharide, polyphenol, pectin, glycogen, sucrose, beta-galactan
TARA_SAMEA2591098_METAG_MBMKDMEL	chitin, trehalose, exo-polysaccharide, chitooligosaccharide, peptidoglycan, lignin, xylan, beta-glucan, glucooligosaccharide, cellooligosaccharide, arabinan, host glycan, polyphenol, xyloglucan, cellulose
TARA_SAMEA2591098_METAG_ELHAFCCE	arabinan, host glycan, xyloglucan, alpha-glucan, glucosylglycerate, lignin, cellulose, chitin, starch, alpha-galactan, beta-glucan, trehalose, exo-polysaccharide, alpha-mannan, peptidoglycan, xylan, polyphenol, pectin, glycogen, sucrose
TARA_SAMEA2591098_METAG_EJOBFJID	arabinan, host glycan, xyloglucan, alpha-glucan, glucosylglycerate, lignin, cellulose, chitin, chitooligosaccharide, starch, beta-glucan, trehalose, exo-polysaccharide, peptidoglycan, xylan, glucooligosaccharide, cellooligosaccharide, polyphenol, glycogen, sucrose
TARA_SAMEA2591098_METAG_BFGIGGHJ	arabinan, host glycan, fructan, xyloglucan, alpha-glucan, glucosylglycerate, lignin, chitin, chitooligosaccharide, sialic acid, starch, beta-glucan, cephalosporin C, trehalose, exo-polysaccharide, peptidoglycan, xylan, glucooligosaccharide, cellooligosaccharide, pectin, polyphenol, glycogen, sucrose, beta-galactan
TARA_SAMEA2591084_METAG_FMKGCENE	alginate, carrageenan, beta-glucan, alpha-galactan, starch, pectin, alpha-glucan, polyphenol, xylan, exo-polysaccharide, chitin, arabinogalactan protein, glucosylglycerate, porphyran, agarose, beta-galactan, glycogen, host glycan, arabinan, sucrose, trehalose, lignin, sialic acid, peptidoglycan, xyloglucan, alkaloid
TARA_SAMEA2591084_METAG_PCHHHJGD	chitin, glucooligosaccharide, cellulose, lignin, chitooligosaccharide, peptidoglycan, cellooligosaccharide, exo-polysaccharide, host glycan
TARA_SAMEA2591084_METAG_BBJDMAAB	arabinan, chitin, glucooligosaccharide, cellulose, trehalose, beta-glucan, polyphenol, lignin, chitooligosaccharide, xylan, peptidoglycan, cellooligosaccharide, xyloglucan, exo-polysaccharide, host glycan
TARA_SAMEA2591084_METAG_AMJHJMNK	arabinan, chitin, glucooligosaccharide, cellulose, lignin, beta-glucan, polyphenol, chitooligosaccharide, xylan, peptidoglycan, cellooligosaccharide, xyloglucan, exo-polysaccharide, host glycan
TARA_SAMEA2623886_METAG_AMIEIFLM	arabinan, alpha-galactan, xyloglucan, chitosan, chitin, xylan, glycolipid, sucrose, glycogen, exo-polysaccharide, beta-mannan, agarose, human milk polysaccharide, porphyran, carrageenan, beta-glucan, trehalose, glucosylglycerate, starch, beta-glycan, peptidoglycan, alpha-glucan, host glycan, arabinogalactan protein, fructan, cellulose, polyphenol
TARA_SAMEA2623886_METAG_CNIBGFNF	arabinan, chitooligosaccharide, cellooligosaccharide, chitosan, chitin, xylan, beta-mannan, exo-polysaccharide, pectin, beta-galactan, human milk polysaccharide, beta-glucan, beta-glucuronan, trehalose, peptidoglycan, host glycan, lignin, alpha-mannan, cellulose, polyphenol, glucooligosaccharide
TARA_SAMEA2623886_METAG_LLPNBDAJ	sucrose, glycogen, trehalose, glucosylglycerate, exo-polysaccharide, starch, chitooligosaccharide, cellulose, peptidoglycan, cellooligosaccharide, alpha-glucan, glucooligosaccharide, host glycan, chitin, lignin, xylan
TARA_SAMEA2623886_METAG_HAHLOJEE	host glycan
TARA_SAMEA2623886_METAG_LPHOEKKG	arabinan, chitooligosaccharide, cellooligosaccharide, chitosan, chitin, xylan, beta-mannan, sucrose, glycogen, exo-polysaccharide, pectin, beta-galactan, beta-glucan, beta-glucuronan, trehalose, glucosylglycerate, starch, peptidoglycan, alpha-glucan, host glycan, lignin, alpha-mannan, cellulose, polyphenol, glucooligosaccharide
TARA_SAMEA2623919_METAG_MOCMJJFC	
TARA_SAMEA2623919_METAG_BIOMPLEH	beta-glucan, beta-galactan, glucooligosaccharide, human milk polysaccharide, chitooligosaccharide, cellulose, alpha-galactan, sucrose, glucosylglycerate, cellooligosaccharide, host glycan, alpha-glucan, beta-fucosides, raffinose, xylan, arabinan, glycogen, beta-glucuronan, uric acid, beta-mannan, trehalose, polyphenol, alkaloid, starch, lignin, arabinogalactan protein
TARA_SAMEA2623919_METAG_NMBILKKG	beta-glucan, beta-galactan, glucooligosaccharide, agarose, chitooligosaccharide, human milk polysaccharide, sucrose, glucosylglycerate, exo-polysaccharide, cellooligosaccharide, host glycan, fructan, xyloglucan, alpha-glucan, pectin, xylan, sialic acid, glycogen, peptidoglycan, porphyran, beta-mannan, chitin, trehalose, polyphenol, carrageenan, starch, lignin, arabinogalactan protein
TARA_SAMEA2623919_METAG_HFBDAGJJ	cellooligosaccharide, xylan, exo-polysaccharide, trehalose, glucooligosaccharide, host glycan, alpha-glucan, glycogen, chitooligosaccharide, peptidoglycan, cellulose, starch, lignin, sucrose, glucosylglycerate, chitin
TARA_SAMEA2623919_METAG_FBOFJEFE	beta-glucan, beta-galactan, glucooligosaccharide, chitooligosaccharide, cellulose, sucrose, glucosylglycerate, exo-polysaccharide, cellooligosaccharide, host glycan, alpha-glucan, pectin, chitosan, alpha-mannan, xylan, arabinan, glycogen, beta-glucuronan, peptidoglycan, beta-mannan, chitin, trehalose, polyphenol, starch, lignin
TARA_SAMEA2623907_METAG_FOGPEDDP	peptidoglycan, chitooligosaccharide, alpha-mannan, host glycan, cellulose, xyloglucan, beta-glucuronan, chitosan, beta-mannan, cellooligosaccharide, polyphenol, beta-glucan, lignin, xylan, beta-galactan, glucooligosaccharide, arabinan, chitin, pectin, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_KDOILCDM	human milk polysaccharide, peptidoglycan, glycogen, alpha-mannan, host glycan, cellulose, xyloglucan, sucrose, beta-mannan, glucosylglycerate, polyphenol, lignin, alpha-galactan, xylan, chitin, starch, trehalose, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_EBOGLADP	polyphenol, host glycan, chitin, cephalosporin C, cellooligosaccharide, cellulose, peptidoglycan, chitooligosaccharide, starch, trehalose, lignin, alpha-glucan, xylan, glucooligosaccharide, exo-polysaccharide
TARA_SAMEA2623907_METAG_ECFMHMMB	human milk polysaccharide, peptidoglycan, porphyran, beta-fucosides, fructan, glycogen, alpha-mannan, host glycan, cellulose, carrageenan, xyloglucan, beta-glucuronan, chitosan, ulvan, agarose, beta-glycan, sucrose, beta-mannan, alginate, glucosylglycerate, polyphenol, alkaloid, beta-glucan, lignin, arabinogalactan protein, alpha-galactan, xylan, beta-galactan, arabinan, glycolipid, chitin, starch, trehalose, pectin, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_BKDEFHCI	human milk polysaccharide, peptidoglycan, chitooligosaccharide, beta-fucosides, glycogen, alpha-rhamnoside, alpha-mannan, host glycan, cellulose, carrageenan, xyloglucan, chitosan, beta-glucuronan, beta-glycan, sucrose, beta-mannan, glucosylglycerate, polyphenol, alkaloid, cellooligosaccharide, uric acid, beta-glucan, alpha-galactan, arabinogalactan protein, xylan, beta-galactan, glucooligosaccharide, arabinan, glycolipid, cephalosporin C, chitin, starch, trehalose, raffinose, pectin, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_OAOJNEPM	human milk polysaccharide, sialic acid, peptidoglycan, porphyran, beta-fucosides, fructan, glycogen, alpha-rhamnoside, alpha-mannan, host glycan, cellulose, carrageenan, xyloglucan, chitosan, beta-glucuronan, ulvan, agarose, glycosidases, sucrose, beta-mannan, beta-glycan, glucosylglycerate, polyphenol, alkaloid, uric acid, beta-glucan, lignin, arabinogalactan protein, alpha-galactan, xylan, beta-galactan, arabinan, glycolipid, cephalosporin C, chitin, starch, trehalose, pectin, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_PJCNPLHD	peptidoglycan, chitooligosaccharide, glycogen, host glycan, cellulose, xyloglucan, sucrose, alginate, glucosylglycerate, polyphenol, cellooligosaccharide, beta-glucan, lignin, xylan, glucooligosaccharide, arabinan, chitin, starch, trehalose, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_CLPEOCMH	arabinan, polyphenol, host glycan, chitin, cellulose, peptidoglycan, xyloglucan, starch, trehalose, pectin, lignin, beta-glucan, fructan, xylan
TARA_SAMEA2623907_METAG_JDNJOPDE	human milk polysaccharide, peptidoglycan, chitooligosaccharide, beta-fucosides, glycogen, host glycan, cellulose, xyloglucan, beta-glucuronan, sucrose, beta-mannan, glucosylglycerate, polyphenol, alkaloid, cellooligosaccharide, uric acid, beta-glucan, lignin, alpha-galactan, xylan, beta-galactan, glucooligosaccharide, arabinan, chitin, starch, trehalose, raffinose, alpha-glucan, exo-polysaccharide
TARA_SAMEA2623907_METAG_LDGJOKPN	peptidoglycan, porphyran, host glycan, cellulose, carrageenan, xyloglucan, agarose, polyphenol, beta-glucan, lignin, arabinogalactan protein, xylan, beta-galactan, arabinan, chitin, starch, trehalose, pectin, exo-polysaccharide
TARA_SAMEA2623907_METAG_JBHOJJHF	human milk polysaccharide, peptidoglycan, chitooligosaccharide, beta-fucosides, glycogen, host glycan, cellulose, xyloglucan, chitosan, beta-glucuronan, sucrose, beta-mannan, glucosylglycerate, polyphenol, alkaloid, cellooligosaccharide, uric acid, beta-glucan, lignin, xylan, beta-galactan, glucooligosaccharide, arabinan, chitin, starch, trehalose, alpha-glucan, exo-polysaccharide
TARA_SAMEA4396424_METAG_MEHMBKLF	arabinan, host glycan, rhamnose, exo-polysaccharide, pectin, alpha-glucan, peptidoglycan, xylan, human milk polysaccharide, trehalose, sucrose, xyloglucan, starch, arabinogalactan protein, glucosylglycerate, beta-galactan, glycogen
TARA_SAMEA4396424_METAG_KOECLKOP	lignin, exo-polysaccharide, polyphenol, xylan, glucooligosaccharide, peptidoglycan, trehalose, chitooligosaccharide, cellulose, host glycan, cellooligosaccharide
TARA_SAMEA4396424_METAG_DBMPIENH	xylan, pectin, xyloglucan, beta-glucan, exo-polysaccharide, peptidoglycan, glucooligosaccharide, porphyran, chitooligosaccharide, chitosan, arabinogalactan protein, cellooligosaccharide, beta-galactan, alpha-mannan, beta-mannan, beta-glucuronan, agarose, sialic acid, arabinan, carrageenan, polyphenol, human milk polysaccharide, chitin, trehalose, host glycan
TARA_SAMEA4396424_METAG_MJGENPMN	xylan, pectin, xyloglucan, beta-glucan, exo-polysaccharide, peptidoglycan, porphyran, arabinogalactan protein, chitosan, beta-galactan, alpha-mannan, beta-mannan, beta-glucuronan, lignin, agarose, arabinan, carrageenan, polyphenol, human milk polysaccharide, chitin, host glycan
TARA_SAMEA4396424_METAG_DBLANIEM	xylan, pectin, xyloglucan, beta-glucan, exo-polysaccharide, peptidoglycan, glucooligosaccharide, chitooligosaccharide, chitosan, cellooligosaccharide, beta-galactan, alpha-mannan, beta-mannan, beta-glucuronan, lignin, abscisic acid, cellulose, arabinan, polyphenol, human milk polysaccharide, chitin, trehalose, host glycan
TARA_SAMEA4396424_METAG_KJFNGIDN	pectin, xylan, fructan, cephalosporin C, xyloglucan, beta-glucan, exo-polysaccharide, peptidoglycan, glucooligosaccharide, chitooligosaccharide, chitosan, glucosylglycerate, beta-galactan, cellooligosaccharide, beta-mannan, lignin, sucrose, cellulose, sialic acid, glycogen, arabinan, polyphenol, alpha-glucan, trehalose, chitin, alpha-rhamnoside, starch, host glycan
TARA_SAMEA4396424_METAG_HACAFHCC	xylan, xyloglucan, beta-glucan, alpha-galactan, exo-polysaccharide, peptidoglycan, glucooligosaccharide, chitooligosaccharide, glucosylglycerate, cellooligosaccharide, lignin, sucrose, cellulose, glycogen, arabinan, polyphenol, alpha-glucan, trehalose, chitin, starch, host glycan
TARA_SAMEA4396424_METAG_OKLBJAED	arabinan, lignin, exo-polysaccharide, xylan, polyphenol, peptidoglycan, chitin, xyloglucan, host glycan, beta-glucan
TARA_SAMEA4396424_METAG_OFLAPIDO	pectin, xylan, xyloglucan, beta-glucan, alpha-galactan, exo-polysaccharide, peptidoglycan, porphyran, arabinogalactan protein, glucosylglycerate, lignin, agarose, sucrose, sialic acid, glycogen, arabinan, carrageenan, polyphenol, alpha-glucan, human milk polysaccharide, trehalose, chitin, raffinose, starch, ulvan, host glycan
MALA_SAMN05422106_METAG_IKNIELCH	beta-glucuronan, arabinan, sucrose, exo-polysaccharide, polyphenol, alpha-glucan, beta-galactan, starch, chitosan, raffinose, cellulose, chitin, alkaloid, peptidoglycan, uric acid, human milk polysaccharide, trehalose, pectin, glycogen, alpha-mannan, beta-glucan, glucosylglycerate, xyloglucan, beta-mannan, alpha-galactan, beta-fucosides, host glycan, lignin, xylan, ulvan
MALA_SAMN05422106_METAG_GCKIENGJ	arabinan, sucrose, exo-polysaccharide, polyphenol, alpha-glucan, starch, raffinose, cellulose, chitin, peptidoglycan, trehalose, glycogen, beta-glucan, glucosylglycerate, cellooligosaccharide, xyloglucan, alpha-galactan, arabinogalactan protein, chitooligosaccharide, host glycan, lignin, xylan, glucooligosaccharide
TARA_SAMEA4396496_METAG_FLKKHAPJ	raffinose, exo-polysaccharide, host glycan, trehalose, starch, lignin, peptidoglycan, polyphenol, glucooligosaccharide, xylan, beta-glucan, arabinogalactan protein, chitin, arabinan, cellooligosaccharide, chitooligosaccharide, cellulose, palatinose, pectin, xyloglucan, sucrose
TARA_SAMEA4396496_METAG_CCDCDMEM	exo-polysaccharide, host glycan, trehalose, glucosylglycerate, starch, lignin, peptidoglycan, polyphenol, glycogen, xylan, glucooligosaccharide, beta-glucan, chitin, arabinan, cellooligosaccharide, alpha-glucan, chitooligosaccharide, cellulose, xyloglucan, sucrose
TARA_SAMEA4396496_METAG_BFMMGJFH	exo-polysaccharide, chitosan, host glycan, trehalose, beta-mannan, lignin, peptidoglycan, human milk polysaccharide, beta-glucuronan, polyphenol, glucooligosaccharide, xylan, beta-glucan, abscisic acid, beta-galactan, chitin, arabinan, cellooligosaccharide, chitooligosaccharide, cellulose, alpha-mannan, pectin, xyloglucan
TARA_SAMEA4396496_METAG_PFACBJFH	exo-polysaccharide, host glycan, trehalose, glucosylglycerate, starch, lignin, peptidoglycan, polyphenol, glycogen, xylan, glucooligosaccharide, beta-glucan, chitin, arabinan, cellooligosaccharide, alpha-glucan, chitooligosaccharide, cellulose, xyloglucan, sucrose, alpha-galactan
TARA_SAMEA4396496_METAG_DNBDGNMF	exo-polysaccharide, chitosan, host glycan, trehalose, glucosylglycerate, beta-mannan, starch, lignin, peptidoglycan, human milk polysaccharide, polyphenol, glycogen, xylan, glucooligosaccharide, beta-glucan, cephalosporin C, beta-galactan, chitin, arabinan, cellooligosaccharide, alpha-glucan, chitooligosaccharide, cellulose, sialic acid, pectin, fructan, xyloglucan, alpha-rhamnoside, sucrose
TARA_SAMEA4396496_METAG_ILGMJFMP	exo-polysaccharide, host glycan, trehalose, glucosylglycerate, starch, lignin, peptidoglycan, polyphenol, glycogen, xylan, glucooligosaccharide, beta-glucan, chitin, arabinan, cellooligosaccharide, alpha-glucan, chitooligosaccharide, cellulose, xyloglucan, sucrose, alpha-galactan
TARA_SAMEA4396496_METAG_FNFDMJKC	polyphenol, exo-polysaccharide, xylan, xyloglucan, host glycan, beta-glucan, chitin, lignin, peptidoglycan, arabinan
TARA_SAMEA4396496_METAG_FCPGNBPN	raffinose, exo-polysaccharide, host glycan, trehalose, glucosylglycerate, starch, lignin, peptidoglycan, human milk polysaccharide, glycogen, polyphenol, xylan, beta-glucan, arabinogalactan protein, agarose, chitin, arabinan, ulvan, porphyran, alpha-glucan, carrageenan, sialic acid, pectin, xyloglucan, sucrose, alpha-galactan
TARA_SAMEA4396496_METAG_LFMCOEMD	raffinose, host glycan, trehalose, glucosylglycerate, beta-mannan, starch, lignin, human milk polysaccharide, beta-glucuronan, polyphenol, glycogen, xylan, beta-glucan, arabinogalactan protein, beta-galactan, uric acid, beta-fucosides, arabinan, alpha-glucan, cellulose, alkaloid, sucrose, alpha-galactan
TARA_SAMEA4396496_METAG_EJIEKEGE	exo-polysaccharide, glycogen, xylan, peptidoglycan, host glycan, trehalose, glucosylglycerate, pectin, alpha-glucan, arabinogalactan protein, starch, beta-galactan, xyloglucan, sucrose, arabinan
TARA_SAMEA4396468_METAG_GEOAMOPC	arabinogalactan protein, chitosan, lignin, beta-glucan, starch, xylan, beta-mannan, glucooligosaccharide, chitooligosaccharide, cellooligosaccharide, glycogen, glucosylglycerate, chitin, peptidoglycan, fructan, cellulose, alpha-glucan, exo-polysaccharide, sialic acid, host glycan, polyphenol, beta-galactan, arabinan, beta-glycan, pectin, trehalose, cephalosporin C, xyloglucan, sucrose, glycolipid
TARA_SAMEA4396468_METAG_JEPGNPPK	exo-polysaccharide, glucooligosaccharide, chitooligosaccharide, cellooligosaccharide, chitin, beta-mannan
TARA_SAMEA4396468_METAG_PMKCLFEO	lignin, beta-glucan, starch, xylan, alpha-mannan, glucooligosaccharide, chitooligosaccharide, cellooligosaccharide, glycogen, glucosylglycerate, chitin, peptidoglycan, fructan, alpha-galactan, alpha-glucan, exo-polysaccharide, sialic acid, host glycan, polyphenol, beta-galactan, arabinan, pectin, trehalose, cephalosporin C, xyloglucan, sucrose
TARA_SAMEA4396468_METAG_EBLHHBPH	arabinogalactan protein, beta-glucuronan, chitosan, lignin, uric acid, beta-glucan, starch, xylan, alpha-mannan, beta-mannan, human milk polysaccharide, glycogen, glucosylglycerate, alkaloid, chitin, peptidoglycan, cellulose, ulvan, alpha-galactan, alpha-glucan, exo-polysaccharide, host glycan, polyphenol, beta-galactan, arabinan, beta-glycan, pectin, trehalose, xyloglucan, sucrose, beta-fucosides, glycolipid
TARA_SAMEA4396468_METAG_MANFACEB	alpha-glucan, trehalose, glucooligosaccharide, host glycan, exo-polysaccharide, chitooligosaccharide, cellooligosaccharide, glycogen, lignin, sucrose, glucosylglycerate, starch, chitin, xylan, peptidoglycan, cellulose
TARA_SAMEA4396468_METAG_PDKKHEEF	pectin, exo-polysaccharide, glucooligosaccharide, chitooligosaccharide, ulvan, cephalosporin C, cellooligosaccharide, lignin, chitin, xylan, peptidoglycan, cellulose
TARA_SAMEA4396468_METAG_CFHMJNIM	arabinogalactan protein, beta-glucuronan, chitosan, lignin, beta-glucan, xylan, beta-mannan, alpha-mannan, glucooligosaccharide, chitooligosaccharide, cellooligosaccharide, chitin, cellulose, alpha-glucan, exo-polysaccharide, host glycan, polyphenol, beta-galactan, arabinan, beta-glycan, pectin, xyloglucan, glycolipid
TARA_SAMEA4396468_METAG_DOOIBEFB	exo-polysaccharide, glucooligosaccharide, host glycan, polyphenol, chitooligosaccharide, cellooligosaccharide, lignin, xyloglucan, beta-glucan, arabinan, chitin, xylan, peptidoglycan, cellulose
TARA_SAMEA4398370_METAG_FLPNMPJL	host glycan, polyphenol, peptidoglycan, cellulose, chitooligosaccharide, cellooligosaccharide, beta-glucan, arabinan, trehalose, xyloglucan, lignin, chitin, glucooligosaccharide, xylan
TARA_SAMEA4398370_METAG_LGCOGMKG	chitin, host glycan, cellulose, peptidoglycan, beta-glucan, chitooligosaccharide, cellooligosaccharide, polyphenol, exo-polysaccharide, xyloglucan, cephalosporin C, lignin, arabinan, glucooligosaccharide, xylan
TARA_SAMEA4398370_METAG_EHKIJLNC	chitin, host glycan, cellulose, peptidoglycan, beta-glucan, chitooligosaccharide, cellooligosaccharide, polyphenol, exo-polysaccharide, xyloglucan, lignin, arabinan, glucooligosaccharide, xylan
TARA_SAMEA4398370_METAG_FOIFAOEO	chitooligosaccharide, cellooligosaccharide, glucosylglycerate, xyloglucan, beta-mannan, chitin, glucooligosaccharide, beta-glucan, cellulose, exo-polysaccharide, human milk polysaccharide, uric acid, raffinose, starch, lignin, alpha-glucan, polyphenol, glycogen, sucrose, alpha-galactan, beta-galactan, arabinan, beta-glucuronan, host glycan, peptidoglycan, arabinogalactan protein, trehalose, beta-fucosides, alkaloid, xylan
TARA_SAMEA4398370_METAG_GOBFGPOL	chitooligosaccharide, cellooligosaccharide, beta-mannan, chitin, glucooligosaccharide, beta-glucan, exo-polysaccharide, human milk polysaccharide, lignin, polyphenol, beta-galactan, arabinan, beta-glucuronan, host glycan, chitosan, peptidoglycan, trehalose, pectin, alpha-mannan, xylan
TARA_SAMEA4398370_METAG_HMHCGPPA	host glycan, polyphenol, peptidoglycan, cellulose, exo-polysaccharide, trehalose, lignin, xylan
TARA_SAMEA4398370_METAG_BHIOPPFJ	host glycan, polyphenol, peptidoglycan, cellulose, arabinan, beta-glucan, exo-polysaccharide, alpha-galactan, arabinogalactan protein, trehalose, xyloglucan, raffinose, lignin, chitin, xylan
TARA_SAMEA4398370_METAG_PFIHJIDJ	glucosylglycerate, xyloglucan, beta-mannan, chitin, beta-glucan, exo-polysaccharide, human milk polysaccharide, starch, lignin, alpha-glucan, polyphenol, glycogen, sucrose, beta-galactan, arabinan, beta-glucuronan, host glycan, chitosan, peptidoglycan, arabinogalactan protein, trehalose, pectin, alpha-mannan, xylan
